[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init]   hub/star 1940/2700 batches (970,000 edges)
[init]   hub/star 1945/2700 batches (972,500 edges)
[init]   hub/star 1950/2700 batches (975,000 edges)
[init]   hub/star 1955/2700 batches (977,500 edges)
[init]   hub/star 1960/2700 batches (980,000 edges)
[init]   hub/star 1965/2700 batches (982,500 edges)
[init]   hub/star 1970/2700 batches (985,000 edges)
[init]   hub/star 1975/2700 batches (987,500 edges)
[init]   hub/star 1980/2700 batches (990,000 edges)
[init]   hub/star 1985/2700 batches (992,500 edges)
[init]   hub/star 1990/2700 batches (995,000 edges)
[init]   hub/star 1995/2700 batches (997,500 edges)
[init]   hub/star 2000/2700 batches (1,000,000 edges)
[init]   hub/star 2005/2700 batches (1,002,500 edges)
[init]   hub/star 2010/2700 batches (1,005,000 edges)
[init]   hub/star 2015/2700 batches (1,007,500 edges)
[init]   hub/star 2020/2700 batches (1,010,000 edges)
[init]   hub/star 2025/2700 batches (1,012,500 edges)
[init]   hub/star 2030/2700 batches (1,015,000 edges)
[init]   hub/star 2035/2700 batches (1,017,500 edges)
[init]   hub/star 2040/2700 batches (1,020,000 edges)
[init]   hub/star 2045/2700 batches (1,022,500 edges)
[init]   hub/star 2050/2700 batches (1,025,000 edges)
[init]   hub/star 2055/2700 batches (1,027,500 edges)
[init]   hub/star 2060/2700 batches (1,030,000 edges)
[init]   hub/star 2065/2700 batches (1,032,500 edges)
[init]   hub/star 2070/2700 batches (1,035,000 edges)
[init]   hub/star 2075/2700 batches (1,037,500 edges)
[init]   hub/star 2080/2700 batches (1,040,000 edges)
[init]   hub/star 2085/2700 batches (1,042,500 edges)
[init]   hub/star 2090/2700 batches (1,045,000 edges)
[init]   hub/star 2095/2700 batches (1,047,500 edges)
[init]   hub/star 2100/2700 batches (1,050,000 edges)
[init]   hub/star 2105/2700 batches (1,052,500 edges)
[init]   hub/star 2110/2700 batches (1,055,000 edges)
[init]   hub/star 2115/2700 batches (1,057,500 edges)
[init]   hub/star 2120/2700 batches (1,060,000 edges)
[init]   hub/star 2125/2700 batches (1,062,500 edges)
[init]   hub/star 2130/2700 batches (1,065,000 edges)
[init]   hub/star 2135/2700 batches (1,067,500 edges)
[init]   hub/star 2140/2700 batches (1,070,000 edges)
[init]   hub/star 2145/2700 batches (1,072,500 edges)
[init]   hub/star 2150/2700 batches (1,075,000 edges)
[init]   hub/star 2155/2700 batches (1,077,500 edges)
[init]   hub/star 2160/2700 batches (1,080,000 edges)
[init]   hub/star 2165/2700 batches (1,082,500 edges)
[init]   hub/star 2170/2700 batches (1,085,000 edges)
[init]   hub/star 2175/2700 batches (1,087,500 edges)
[init]   hub/star 2180/2700 batches (1,090,000 edges)
[init]   hub/star 2185/2700 batches (1,092,500 edges)
[init]   hub/star 2190/2700 batches (1,095,000 edges)
[init]   hub/star 2195/2700 batches (1,097,500 edges)
[init]   hub/star 2200/2700 batches (1,100,000 edges)
[init]   hub/star 2205/2700 batches (1,102,500 edges)
[init]   hub/star 2210/2700 batches (1,105,000 edges)
